"Overnight accommodation; guests, country of residence, type, region "
"Periods: 2018 February*"
"";"";"";"";"Regions"
"Country of residence";"Topic";"Type of accommodation";"";"Nederland";"Groningen (PV)";"Friesland (PV)";"Drenthe (PV)";"Overijssel (PV)";"Flevoland (PV)";"Gelderland (PV)";"Utrecht (PV)";"Noord-Holland (PV)";"Zuid-Holland (PV)";"Zeeland (PV)";"Noord-Brabant (PV)";"Limburg (PV)"
"Asia";"Guests";"Total Leisure accommodation";"x 1 000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Asia";"Guests";"Campsite";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"Asia";"Guests";"Holiday park";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"Asia";"Guests";"Group accommodation";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"Asia";"Overnight stays";"Total overnight accommodation";"x 1 000";"142";"0";"0";"0";"2";"0";"1";"2";"108";"19";"0";"4";"3"
"Asia";"Overnight stays";"Hotel/boarding house/youth hostel";"x 1 000";"140";"0";"0";"0";"2";"0";"1";"2";"108";"18";"0";"4";"3"
"Asia";"Overnight stays";"Total Leisure accommodation";"x 1 000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Asia";"Overnight stays";"Campsite";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"Asia";"Overnight stays";"Holiday park";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"Asia";"Overnight stays";"Group accommodation";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"Australia and Oceania";"Guests";"Total overnight accommodation";"x 1 000";"9";"0";"0";"0";"0";"0";"0";"0";"8";"1";"0";"0";"0"
"Australia and Oceania";"Guests";"Hotel/boarding house/youth hostel";"x 1 000";"9";"0";"0";"0";"0";"0";"0";"0";"8";"1";"0";"0";"0"
"Australia and Oceania";"Guests";"Total Leisure accommodation";"x 1 000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Australia and Oceania";"Guests";"Campsite";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"Australia and Oceania";"Guests";"Holiday park";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"Australia and Oceania";"Guests";"Group accommodation";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"Australia and Oceania";"Overnight stays";"Total overnight accommodation";"x 1 000";"18";"0";"0";"0";"0";"0";"0";"0";"15";"1";"0";"0";"0"
"Australia and Oceania";"Overnight stays";"Hotel/boarding house/youth hostel";"x 1 000";"17";"0";"0";"0";"0";"0";"0";"0";"15";"1";"0";"0";"0"
"Australia and Oceania";"Overnight stays";"Total Leisure accommodation";"x 1 000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Australia and Oceania";"Overnight stays";"Campsite";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"Australia and Oceania";"Overnight stays";"Holiday park";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"Australia and Oceania";"Overnight stays";"Group accommodation";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"Africa";"Guests";"Total overnight accommodation";"x 1 000";"9";"0";"0";"0";"0";"0";"0";"0";"6";"1";"0";"0";"0"
"Africa";"Guests";"Hotel/boarding house/youth hostel";"x 1 000";"9";"0";"0";"0";"0";"0";"0";"0";"6";"1";"0";"0";"0"
"Africa";"Guests";"Total Leisure accommodation";"x 1 000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Africa";"Guests";"Campsite";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"Africa";"Guests";"Holiday park";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"Africa";"Guests";"Group accommodation";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"Africa";"Overnight stays";"Total overnight accommodation";"x 1 000";"18";"0";"0";"0";"0";"0";"0";"0";"12";"3";"0";"0";"0"
"Africa";"Overnight stays";"Hotel/boarding house/youth hostel";"x 1 000";"17";"0";"0";"0";"0";"0";"0";"0";"12";"3";"0";"0";"0"
"Africa";"Overnight stays";"Total Leisure accommodation";"x 1 000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Africa";"Overnight stays";"Campsite";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"Africa";"Overnight stays";"Holiday park";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"Africa";"Overnight stays";"Group accommodation";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"Source: CBS"
