"Overnight accommodation; guests, country of residence, type, region "
"Periods: 2018 February*"
"";"";"";"";"Regions"
"Country of residence";"Topic";"Type of accommodation";"";"Nederland";"Groningen (PV)";"Friesland (PV)";"Drenthe (PV)";"Overijssel (PV)";"Flevoland (PV)";"Gelderland (PV)";"Utrecht (PV)";"Noord-Holland (PV)";"Zuid-Holland (PV)";"Zeeland (PV)";"Noord-Brabant (PV)";"Limburg (PV)"
"Europe excluding The Netherlands";"Guests";"Group accommodation";"x 1 000";"5";".";".";".";".";".";".";".";".";".";".";".";"."
"Europe excluding The Netherlands";"Overnight stays";"Total overnight accommodation";"x 1 000";"1859";"18";"26";"46";"34";"26";"54";"39";"954";"209";"131";"136";"186"
"Europe excluding The Netherlands";"Overnight stays";"Hotel/boarding house/youth hostel";"x 1 000";"1370";"15";"11";"4";"27";"7";"31";"35";"899";"156";"42";"75";"69"
"Europe excluding The Netherlands";"Overnight stays";"Total Leisure accommodation";"x 1 000";"489";"3";"15";"42";"7";"20";"23";"4";"55";"53";"89";"61";"118"
"Europe excluding The Netherlands";"Overnight stays";"Campsite";"x 1 000";"27";".";".";".";".";".";".";".";".";".";".";".";"."
"Europe excluding The Netherlands";"Overnight stays";"Holiday park";"x 1 000";"453";".";".";".";".";".";".";".";".";".";".";".";"."
"Europe excluding The Netherlands";"Overnight stays";"Group accommodation";"x 1 000";"9";".";".";".";".";".";".";".";".";".";".";".";"."
"Germany";"Guests";"Total overnight accommodation";"x 1 000";"225";"5";"5";"9";"9";"4";"9";"6";"88";"29";"20";"12";"30"
"Germany";"Guests";"Hotel/boarding house/youth hostel";"x 1 000";"161";"4";"3";"1";"8";"1";"6";"6";"78";"23";"8";"9";"13"
"Germany";"Guests";"Total Leisure accommodation";"x 1 000";"64";"1";"2";"9";"1";"3";"3";"0";"10";"6";"11";"3";"16"
"Germany";"Guests";"Campsite";"x 1 000";"5";".";".";".";".";".";".";".";".";".";".";".";"."
"Germany";"Guests";"Holiday park";"x 1 000";"58";".";".";".";".";".";".";".";".";".";".";".";"."
"Germany";"Guests";"Group accommodation";"x 1 000";"1";".";".";".";".";".";".";".";".";".";".";".";"."
"Germany";"Overnight stays";"Total overnight accommodation";"x 1 000";"534";"9";"14";"31";"14";"13";"20";"10";"188";"66";"64";"25";"79"
"Germany";"Overnight stays";"Hotel/boarding house/youth hostel";"x 1 000";"288";"7";"5";"1";"11";"2";"10";"8";"147";"41";"19";"16";"21"
"Germany";"Overnight stays";"Total Leisure accommodation";"x 1 000";"246";"2";"9";"30";"3";"11";"10";"0";"41";"25";"45";"9";"58"
"Germany";"Overnight stays";"Campsite";"x 1 000";"18";".";".";".";".";".";".";".";".";".";".";".";"."
"Germany";"Overnight stays";"Holiday park";"x 1 000";"226";".";".";".";".";".";".";".";".";".";".";".";"."
"Germany";"Overnight stays";"Group accommodation";"x 1 000";"2";".";".";".";".";".";".";".";".";".";".";".";"."
"Belgium";"Guests";"Total overnight accommodation";"x 1 000";"156";"1";"1";"2";"4";"2";"7";"5";"34";"23";"23";"25";"28"
"Belgium";"Guests";"Hotel/boarding house/youth hostel";"x 1 000";"106";"1";"1";"1";"4";"1";"5";"5";"33";"18";"12";"13";"14"
"Belgium";"Guests";"Total Leisure accommodation";"x 1 000";"51";"0";"0";"2";"0";"1";"2";"0";"1";"5";"11";"12";"14"
"Belgium";"Guests";"Campsite";"x 1 000";"2";".";".";".";".";".";".";".";".";".";".";".";"."
"Belgium";"Guests";"Holiday park";"x 1 000";"47";".";".";".";".";".";".";".";".";".";".";".";"."
"Belgium";"Guests";"Group accommodation";"x 1 000";"2";".";".";".";".";".";".";".";".";".";".";".";"."
"Belgium";"Overnight stays";"Total overnight accommodation";"x 1 000";"326";"2";"3";"8";"7";"6";"15";"7";"55";"44";"56";"56";"67"
"Belgium";"Overnight stays";"Hotel/boarding house/youth hostel";"x 1 000";"156";"2";"1";"1";"6";"1";"7";"7";"50";"28";"18";"19";"19"
"Belgium";"Overnight stays";"Total Leisure accommodation";"x 1 000";"170";"0";"0";"7";"0";"5";"8";"0";"5";"17";"38";"37";"48"
"Belgium";"Overnight stays";"Campsite";"x 1 000";"5";".";".";".";".";".";".";".";".";".";".";".";"."
"Belgium";"Overnight stays";"Holiday park";"x 1 000";"160";".";".";".";".";".";".";".";".";".";".";".";"."
"Belgium";"Overnight stays";"Group accommodation";"x 1 000";"5";".";".";".";".";".";".";".";".";".";".";".";"."
"United Kingdom";"Guests";"Total overnight accommodation";"x 1 000";"172";"1";"1";"0";"2";"1";"2";"4";"133";"14";"1";"8";"4"
"United Kingdom";"Guests";"Hotel/boarding house/youth hostel";"x 1 000";"167";"1";"1";"0";"2";"1";"2";"4";"132";"14";"1";"7";"4"
"United Kingdom";"Guests";"Total Leisure accommodation";"x 1 000";"5";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"1"
"United Kingdom";"Guests";"Campsite";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"United Kingdom";"Guests";"Holiday park";"x 1 000";"4";".";".";".";".";".";".";".";".";".";".";".";"."
"United Kingdom";"Guests";"Group accommodation";"x 1 000";"1";".";".";".";".";".";".";".";".";".";".";".";"."
"United Kingdom";"Overnight stays";"Total overnight accommodation";"x 1 000";"344";"1";"2";"0";"3";"3";"5";"7";"263";"29";"2";"17";"10"
"United Kingdom";"Overnight stays";"Hotel/boarding house/youth hostel";"x 1 000";"323";"1";"1";"0";"2";"2";"3";"6";"260";"26";"1";"12";"7"
"United Kingdom";"Overnight stays";"Total Leisure accommodation";"x 1 000";"21";"0";"0";"0";"0";"0";"0";"0";"3";"4";"0";"5";"3"
"United Kingdom";"Overnight stays";"Campsite";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
